"URL","HIDDEN_URL","EXERCISE"
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",13059
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1010",13055
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1009",13061
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5002",14316
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2_enc",13044
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1009",13058
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2_enc",13047
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",13053
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",13060
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1009",13056
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1009",13062
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",13054
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14267
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14268
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14269
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14270
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14272
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14273
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5002",14311
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14275
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14274
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5002",14308
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5002",14309
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5002",14314
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5002",14312
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5002",14313
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001",14318
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5002",14320
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1009",14271
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5002",14315
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5002",14307
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5002",14310
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2_enc",13045
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2_enc",13043
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1009 	",14319
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1009",13057
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14321
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14322
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14323
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14324
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1_enc",14325
"http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2","http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2_enc",13046
